case_id,canonical_oracle,max_budget_oracle,gain,s10_a0,s10_a6,s10_a11,s10_a15,s10_a23,s10_a39,s15_a0,s15_a6,s15_a11,s15_a15,s15_a23,s15_a39,s20_a0,s20_a6,s20_a11,s20_a15,s20_a23,s20_a39,s25_a0,s25_a6,s25_a11,s25_a15,s25_a23,s25_a39,s30_a0,s30_a6,s30_a11,s30_a15,s30_a23,s30_a39
TCGA_CS_4941_19960909_14,0.881123557933456,0.881123557933456,0.0,0.881123557933456,0.881123557933456,0.881123557933456,0.881123557933456,0.881123557933456,0.881123557933456,0.881123557933456,0.881123557933456,0.881123557933456,0.881123557933456,0.881123557933456,0.881123557933456,0.881123557933456,0.881123557933456,0.881123557933456,0.881123557933456,0.881123557933456,0.881123557933456,0.881123557933456,0.881123557933456,0.881123557933456,0.881123557933456,0.881123557933456,0.881123557933456,0.881123557933456,0.881123557933456,0.881123557933456,0.881123557933456,0.881123557933456,0.881123557933456
TCGA_CS_4942_19970222_11,0.9582389122693429,0.9647819063004847,0.00654299403114178,0.9582389122693429,0.9636070853462158,0.9636070853462158,0.9647819063004847,0.9647819063004847,0.9647819063004847,0.9582389122693429,0.9636070853462158,0.9636070853462158,0.9647819063004847,0.9647819063004847,0.9647819063004847,0.958806357444048,0.9636070853462158,0.9636070853462158,0.9647819063004847,0.9647819063004847,0.9647819063004847,0.958806357444048,0.9636070853462158,0.9636070853462158,0.9647819063004847,0.9647819063004847,0.9647819063004847,0.958806357444048,0.9636070853462158,0.9636070853462158,0.9647819063004847,0.9647819063004847,0.9647819063004847
TCGA_CS_4943_20000902_17,0.9519504436631508,0.9573781078463028,0.005427664183151992,0.9519504436631508,0.9561830574488802,0.9572484731597557,0.9572484731597557,0.9573781078463028,0.9573781078463028,0.9519504436631508,0.9561830574488802,0.9572484731597557,0.9572484731597557,0.9573781078463028,0.9573781078463028,0.9519504436631508,0.9561830574488802,0.9572484731597557,0.9572484731597557,0.9573781078463028,0.9573781078463028,0.9519504436631508,0.9561830574488802,0.9572484731597557,0.9572484731597557,0.9573781078463028,0.9573781078463028,0.9519504436631508,0.9561830574488802,0.9572484731597557,0.9572484731597557,0.9573781078463028,0.9573781078463028
TCGA_CS_4944_20010208_10,0.9574947673482531,0.9574947673482531,0.0,0.9574947673482531,0.9574947673482531,0.9574947673482531,0.9574947673482531,0.9574947673482531,0.9574947673482531,0.9574947673482531,0.9574947673482531,0.9574947673482531,0.9574947673482531,0.9574947673482531,0.9574947673482531,0.9574947673482531,0.9574947673482531,0.9574947673482531,0.9574947673482531,0.9574947673482531,0.9574947673482531,0.9574947673482531,0.9574947673482531,0.9574947673482531,0.9574947673482531,0.9574947673482531,0.9574947673482531,0.9574947673482531,0.9574947673482531,0.9574947673482531,0.9574947673482531,0.9574947673482531,0.9574947673482531
TCGA_CS_5393_19990606_9,0.9676586960261483,0.9685113685113685,0.0008526724852202516,0.9676586960261483,0.9685113685113685,0.9685113685113685,0.9685113685113685,0.9685113685113685,0.9685113685113685,0.9678139215517981,0.9685113685113685,0.9685113685113685,0.9685113685113685,0.9685113685113685,0.9685113685113685,0.9679355281207133,0.9685113685113685,0.9685113685113685,0.9685113685113685,0.9685113685113685,0.9685113685113685,0.9679355281207133,0.9685113685113685,0.9685113685113685,0.9685113685113685,0.9685113685113685,0.9685113685113685,0.9679355281207133,0.9685113685113685,0.9685113685113685,0.9685113685113685,0.9685113685113685,0.9685113685113685
TCGA_CS_5395_19981004_13,0.9085510688836105,0.9085510688836105,0.0,0.9085510688836105,0.9085510688836105,0.9085510688836105,0.9085510688836105,0.9085510688836105,0.9085510688836105,0.9085510688836105,0.9085510688836105,0.9085510688836105,0.9085510688836105,0.9085510688836105,0.9085510688836105,0.9085510688836105,0.9085510688836105,0.9085510688836105,0.9085510688836105,0.9085510688836105,0.9085510688836105,0.9085510688836105,0.9085510688836105,0.9085510688836105,0.9085510688836105,0.9085510688836105,0.9085510688836105,0.9085510688836105,0.9085510688836105,0.9085510688836105,0.9085510688836105,0.9085510688836105,0.9085510688836105
TCGA_CS_5396_20010302_15,0.9345794392523364,0.9401181762060147,0.005538736953678236,0.9345794392523364,0.9345794392523364,0.9345794392523364,0.9345794392523364,0.9345794392523364,0.9345794392523364,0.9345794392523364,0.9345794392523364,0.9345794392523364,0.9345794392523364,0.9345794392523364,0.9345794392523364,0.9401181762060147,0.9401181762060147,0.9401181762060147,0.9401181762060147,0.9401181762060147,0.9401181762060147,0.9401181762060147,0.9401181762060147,0.9401181762060147,0.9401181762060147,0.9401181762060147,0.9401181762060147,0.9401181762060147,0.9401181762060147,0.9401181762060147,0.9401181762060147,0.9401181762060147,0.9401181762060147
TCGA_CS_5397_20010315_10,0.9044193216855088,0.9144460028050491,0.010026681119540304,0.9044193216855088,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9144460028050491,0.9144460028050491,0.9044193216855088,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9144460028050491,0.9144460028050491,0.9044193216855088,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9144460028050491,0.9144460028050491,0.9044193216855088,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9144460028050491,0.9144460028050491,0.9044193216855088,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9144460028050491,0.9144460028050491
TCGA_CS_6186_20000601_16,0.9358302122347066,0.9358302122347066,0.0,0.9358302122347066,0.9358302122347066,0.9358302122347066,0.9358302122347066,0.9358302122347066,0.9358302122347066,0.9358302122347066,0.9358302122347066,0.9358302122347066,0.9358302122347066,0.9358302122347066,0.9358302122347066,0.9358302122347066,0.9358302122347066,0.9358302122347066,0.9358302122347066,0.9358302122347066,0.9358302122347066,0.9358302122347066,0.9358302122347066,0.9358302122347066,0.9358302122347066,0.9358302122347066,0.9358302122347066,0.9358302122347066,0.9358302122347066,0.9358302122347066,0.9358302122347066,0.9358302122347066,0.9358302122347066
TCGA_CS_6188_20010812_15,0.926391382405745,0.926391382405745,0.0,0.926391382405745,0.926391382405745,0.926391382405745,0.926391382405745,0.926391382405745,0.926391382405745,0.926391382405745,0.926391382405745,0.926391382405745,0.926391382405745,0.926391382405745,0.926391382405745,0.926391382405745,0.926391382405745,0.926391382405745,0.926391382405745,0.926391382405745,0.926391382405745,0.926391382405745,0.926391382405745,0.926391382405745,0.926391382405745,0.926391382405745,0.926391382405745,0.926391382405745,0.926391382405745,0.926391382405745,0.926391382405745,0.926391382405745,0.926391382405745
