case_id,dice_beta_0,dice_beta_1
TCGA_CS_4941_19960909_14,0.86960933536276,0.86960933536276
TCGA_CS_4942_19970222_11,0.9472693032015066,0.9567514031033344
TCGA_CS_4943_20000902_17,0.9493243243243243,0.9506578947368421
TCGA_CS_4944_20010208_10,0.9515608180839612,0.9516636318490316
TCGA_CS_5393_19990606_9,0.9576300984528833,0.9648292188028407
TCGA_CS_5395_19981004_13,0.29404531881257684,0.9074837949322333
TCGA_CS_5396_20010302_15,0.9345556866660616,0.9345556866660616
TCGA_CS_5397_20010315_10,0.0,0.38123935543036813
TCGA_CS_6186_20000601_16,0.9228007181328546,0.9355728252694911
TCGA_CS_6188_20010812_15,0.735207100591716,0.9244712990936556
TCGA_CS_6290_20000917_8,0.9645576266736676,0.9634691195795007
TCGA_CS_6665_20010817_18,0.4627083942673296,0.4630859375
TCGA_CS_6666_20011109_17,0.9260884238947014,0.9276211950394588
TCGA_CS_6667_20011105_13,0.9335737902013826,0.9387875220718069
TCGA_CS_6668_20011025_17,0.9411035337879727,0.9411035337879727
TCGA_CS_6669_20020102_16,0.8613797549967763,0.8974218321448162
TCGA_DU_5849_19950405_24,0.9507227332457293,0.9507227332457293
TCGA_DU_5851_19950428_19,0.9148984713666438,0.8695838695838696
TCGA_DU_5852_19950709_13,0.2695152013147083,0.27094002973732034
TCGA_DU_5853_19950823_29,0.34466588511137164,0.34466588511137164
TCGA_DU_5854_19951104_27,0.8921815889029003,0.8921815889029003
TCGA_DU_5855_19951217_17,0.9570410729253982,0.956397426733381
TCGA_DU_5871_19941206_23,0.961835478455512,0.9611564775987641
TCGA_DU_5872_19950223_39,0.8199620972836387,0.8199620972836387
TCGA_DU_5874_19950510_24,0.1866977829638273,0.8932617769827073
TCGA_DU_6399_19830416_23,0.9674324665488513,0.9605295415543025
TCGA_DU_6400_19830518_22,0.9621828626136908,0.9540050062578223
TCGA_DU_6401_19831001_30,0.9535523825907449,0.9534623655913979
TCGA_DU_6404_19850629_35,0.945649400357234,0.9474229474229474
TCGA_DU_6405_19851005_46,0.0,0.0
TCGA_DU_6407_19860514_27,0.9678225554514215,0.9678225554514215
TCGA_DU_6408_19860521_31,0.9470472087596482,0.9440883190883191
TCGA_DU_7008_19830723_26,0.88823297914207,0.8900138971610085
TCGA_DU_7010_19860307_38,0.73828302057837,0.8502293577981651
TCGA_DU_7013_19860523_17,0.3934816224574759,0.3934816224574759
TCGA_DU_7014_19860618_36,0.9495672244662435,0.9252700746185544
TCGA_DU_7018_19911220_22,0.8499581889857842,0.8499581889857842
TCGA_DU_7019_19940908_15,0.663231010531033,0.6632298554297882
TCGA_DU_7294_19890104_25,0.5245202558635395,0.5155688622754491
TCGA_DU_7298_19910324_14,0.9521404521404522,0.9521404521404522
