case_id,candidate_count,selected_index,oracle_index,seed_count,any_seed_in_gt,union_gt_recall,max_candidate_recall,min_centroid_distance_radii,selected_dice,selected_precision,selected_recall,selected_boundary_f1_2px,selected_assd_px,selected_hd95_px,oracle_dice,oracle_precision,oracle_recall,oracle_boundary_f1_2px,oracle_assd_px,oracle_hd95_px,boundary_gradient_median,boundary_gradient_p25,weak_boundary_fraction,normal_gradient_abs_median,normal_gradient_sign_consistency,ring_intensity_distance_iqr,gt_compactness,selection_regret,failure_class
TCGA_CS_4941_19960909_14,682,224,457,20,1,0.9986096628432395,0.9986096628432395,0.029082251072244755,0.86960933536276,0.8468379446640316,0.8936392075078207,0.6536980872353783,0.9743242539608443,5.0990195135927845,0.881123557933456,0.8489046391752577,0.9158846020159889,0.7305482373604316,0.6830985706341595,3.273096063992282,0.05970171847447356,0.03778259529904704,0.07756232686980609,0.053583510961318824,0.9792243767313019,1.2563385360414834,0.2852658144292741,0.011514222570696009,C
TCGA_CS_4942_19970222_11,552,22,90,20,1,0.9993502274204028,0.9993502274204028,0.018664511205943462,0.9567514031033344,0.9724832214765101,0.9415204678362573,0.9718527526538472,0.3654021789967122,1.4142135623730951,0.9582389122693429,0.9548387096774194,0.9616634178037686,0.9485933127117396,0.37567947254504747,2.0,0.06242034751252135,0.050142542911644966,0.0034482758620689655,0.059912988540351514,1.0,1.5344907050416252,0.9457501283920636,0.0014875091660084827,C
TCGA_CS_4943_20000902_17,568,359,325,20,1,0.9867141931302658,0.9867141931302658,0.046527000325186745,0.9506578947368421,0.9652638610554443,0.9364873622812703,0.8725678689533186,0.6737742404212809,2.8284271247461903,0.9519504436631508,0.9847592656737097,0.9212572909915748,0.8694511505882024,0.6099804242604854,2.23606797749979,0.06841861625506335,0.05509641205116936,0.08292682926829269,0.06397450425489842,0.9975609756097561,0.6155991818208211,0.9410521904414811,0.0012925489263087009,C
TCGA_CS_4944_20010208_10,471,187,116,20,1,0.9930521893682339,0.9930521893682339,0.0060806381190173795,0.9516636318490316,0.9755642287459698,0.9289061237679754,0.6778534640305699,0.7892933057666769,3.1622776601683795,0.9574947673482531,0.9541151933258463,0.9608983680723865,0.7516607516607516,0.805316618414816,4.0,0.04338001999183349,0.030694974149040266,0.11221122112211221,0.038747957338602416,0.9834983498349835,0.4574956796343125,0.8584151138757887,0.00583113549922154,C
TCGA_CS_5393_19990606_9,494,173,95,20,1,0.9887275832621691,0.9887275832621691,0.006065157173251916,0.9648292188028407,0.9552988448016072,0.9745516652433818,0.8556981421183681,0.4846919293053613,2.23606797749979,0.9676586960261483,0.9747010916652227,0.9607173356105893,0.8663711209626346,0.4153450470786128,2.0,0.04215857900920023,0.031076630833220764,0.11029411764705882,0.03931262540546338,0.9647058823529412,0.3819320711690405,0.6440259440063943,0.0028294772233076193,C
TCGA_CS_5395_19981004_13,566,257,1,20,1,0.9988095238095238,0.9988095238095238,0.10944598515606675,0.9074837949322333,0.8984830805134189,0.9166666666666666,0.8371769291448193,0.5928791456954499,2.23606797749979,0.9085510688836105,0.9063981042654028,0.9107142857142857,0.8403218975010588,0.6095872357809647,2.8284271247461903,0.04151810730726807,0.03136740277513133,0.07142857142857142,0.038415605778407386,0.9747899159663865,0.8198844488578096,0.7711119377641897,0.001067273951377179,C
TCGA_CS_5396_20010302_15,502,220,87,20,1,0.9553221787112851,0.9553221787112851,0.03825062877643975,0.9345556866660616,0.9535099092424523,0.9163403346386615,0.7322634025898977,0.7839215075181604,4.0,0.9345794392523364,0.9531741625023136,0.9166963332146671,0.7336161198819218,0.7826797384423612,4.0,0.03598191645250378,0.02040931791615688,0.13233287858117326,0.03204835897695175,0.9113233287858117,0.9703673019770424,0.5270228292235104,2.3752586274849996e-05,C
TCGA_CS_5397_20010315_10,441,164,128,20,1,0.9979494190020506,0.9979494190020506,0.1326925656029055,0.38123935543036813,0.23581847649918963,0.9945317840054683,0.2048,17.10890051210582,57.84022585227873,0.9044193216855088,0.9065934065934066,0.9022556390977443,0.7370523751522534,0.9937225724355525,4.188854381999821,0.018100981901082835,0.01121766431883461,0.3888888888888889,0.016773438056752604,0.9901960784313726,0.521289534162935,0.8063067500898824,0.5231799662551406,S
TCGA_CS_6186_20000601_16,489,99,42,20,1,0.9865319865319865,0.9865319865319865,0.05816088514349459,0.9355728252694911,0.9769633507853404,0.8975468975468975,0.8926008090826046,1.0907109653316065,7.259407687774756,0.9358302122347066,0.9730010384215991,0.9013949013949014,0.8907383456109768,1.0886188599471964,7.245606220104248,0.03400479592927864,0.02656729642219881,0.06164383561643835,0.030382144840946375,0.9840182648401826,1.307647856431599,0.5548107733705786,0.0002573869652154892,C
TCGA_CS_6188_20010812_15,422,36,37,20,1,0.9138134592680047,0.9138134592680047,0.03192400024388504,0.9244712990936556,0.9467821782178217,0.9031877213695395,0.9634352351370497,0.3382760705170895,1.4142135623730951,0.926391382405745,0.9393203883495146,0.9138134592680047,0.9817892221927264,0.3284010977989575,1.4142135623730951,0.019890669184816023,0.01162713722200918,0.21678321678321677,0.01733620236207392,0.9370629370629371,1.0517328936088737,0.5508884586903737,0.0019200833120894822,C
